"GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","Overall rank","Country or region"
1.34,1.587,0.986,0.596,0.153,0.393,1.0,"Finland"
1.383,1.573,0.996,0.592,0.252,0.41,2.0,"Denmark"
1.488,1.582,1.028,0.603,0.271,0.341,3.0,"Norway"
1.38,1.624,1.026,0.591,0.354,0.118,4.0,"Iceland"
1.396,1.522,0.999,0.557,0.322,0.298,5.0,"Netherlands"
1.452,1.526,1.052,0.572,0.263,0.343,6.0,"Switzerland"
1.387,1.487,1.009,0.574,0.267,0.373,7.0,"Sweden"
1.303,1.557,1.026,0.585,0.33,0.38,8.0,"New Zealand"
1.365,1.505,1.039,0.584,0.285,0.308,9.0,"Canada"
1.376,1.475,1.016,0.532,0.244,0.226,10.0,"Austria"
1.372,1.548,1.036,0.557,0.332,0.29,11.0,"Australia"
1.034,1.441,0.963,0.558,0.144,0.093,12.0,"Costa Rica"
1.276,1.455,1.029,0.371,0.261,0.082,13.0,"Israel"
1.609,1.479,1.012,0.526,0.194,0.316,14.0,"Luxembourg"
1.333,1.538,0.996,0.45,0.348,0.278,15.0,"United Kingdom"
1.499,1.553,0.999,0.516,0.298,0.31,16.0,"Ireland"
1.373,1.454,0.987,0.495,0.261,0.265,17.0,"Germany"
1.356,1.504,0.986,0.473,0.16,0.21,18.0,"Belgium"
1.433,1.457,0.874,0.454,0.28,0.128,19.0,"United States"
1.269,1.487,0.92,0.457,0.046,0.036,20.0,"Czech Republic"
1.503,1.31,0.825,0.598,0.262,0.182,21.0,"United Arab Emirates"
1.3,1.52,0.999,0.564,0.375,0.151,22.0,"Malta"
1.07,1.323,0.861,0.433,0.074,0.073,23.0,"Mexico"
1.324,1.472,1.045,0.436,0.111,0.183,24.0,"France"
1.368,1.43,0.914,0.351,0.242,0.097,25.0,"Taiwan"
1.159,1.369,0.92,0.357,0.187,0.056,26.0,"Chile"
0.8,1.269,0.746,0.535,0.175,0.078,27.0,"Guatemala"
